model,phase,item_id,store_id,fold,mae,rmse,mase,mape
naive,1,FOODS_1_218,TX_2,1,5.785714285714286,7.11637949682682,0.5221784164443485,90.35159518352796
naive,1,FOODS_2_197,CA_1,1,5.285714285714286,6.301927142889365,0.5095758928571429,27.598549701361076
naive,1,FOODS_2_197,CA_3,1,4.642857142857143,5.431390245600108,0.43331460552758394,55.94509657009657
naive,1,FOODS_2_276,CA_3,1,4.928571428571429,5.586974647721763,0.4937373877948647,46.09057609057609
naive,1,FOODS_2_360,CA_3,1,9.928571428571429,13.063033994553376,0.7593498766335722,
naive,1,FOODS_2_360,TX_3,1,9.785714285714286,15.590748172279245,0.9126036448436691,
naive,1,FOODS_2_360,WI_2,1,61.714285714285715,96.81351735608588,3.129846645217351,
naive,1,FOODS_3_007,WI_2,1,0.0,0.0,0.0,
naive,1,FOODS_3_030,TX_2,1,6.571428571428571,8.306623862918075,0.576206266495229,33.06778221860044
naive,1,FOODS_3_030,TX_3,1,5.785714285714286,7.9865959135112305,0.4895034803390229,27.657285410203507
naive,1,FOODS_3_080,CA_1,1,7.428571428571429,9.957050624700928,1.131710758377425,42.19038081166229
naive,1,FOODS_3_080,TX_2,1,9.428571428571429,10.078265156832726,1.5306337234069212,52.180225936528466
naive,1,FOODS_3_090,CA_1,1,14.5,19.024420396652598,0.48481755780346825,25.70650709042458
naive,1,FOODS_3_090,CA_2,1,14.928571428571429,17.106807333423067,1.0516359306700303,42.11802924624223
naive,1,FOODS_3_090,CA_3,1,48.642857142857146,54.00462943118858,0.9157454951224404,41.19563984746934
naive,1,FOODS_3_090,CA_4,1,8.571428571428571,10.288690045731908,0.6985916201714714,38.46144437135524
naive,1,FOODS_3_090,TX_1,1,19.857142857142858,26.640463316434374,0.782766237085174,27.348087673364933
naive,1,FOODS_3_090,TX_2,1,12.928571428571429,16.126730250470136,0.4514050196983007,26.211709743662116
naive,1,FOODS_3_090,TX_3,1,14.285714285714286,17.488771908202782,0.5439685902955533,22.742108332210435
naive,1,FOODS_3_090,WI_3,1,34.785714285714285,44.71896369870073,1.2906840888980524,38.20501117166227
naive,1,FOODS_3_099,TX_2,1,7.5,9.200155278192709,1.071593979158626,44.65281443606567
naive,1,FOODS_3_120,CA_1,1,4.5,15.318056571995585,0.2640095087163233,
naive,1,FOODS_3_120,CA_3,1,8.571428571428571,22.491268146930775,0.5314613032430336,
naive,1,FOODS_3_120,WI_3,1,6.142857142857143,16.29197874503191,0.6376417996539127,
naive,1,FOODS_3_202,CA_3,1,12.857142857142858,13.65911521920174,1.1725166984564925,82.10739011750493
naive,1,FOODS_3_202,TX_1,1,7.0,9.296696802013683,0.7190743104500804,34.733199340342196
