MAE,RMSE,MASE,MAPE,fold,item_id,store_id,model,phase
2.142857142857143,2.7774602993176543,0.9130624726955001,25.396825396825395,1,ITEM_001,STORE_01,naive,1
4.142857142857143,5.237229365663817,1.663510360916701,13.842186117436176,1,ITEM_001,STORE_02,naive,1
3.357142857142857,4.234214381508266,1.6129720853858784,12.994309097469921,1,ITEM_001,STORE_03,naive,1
1.5,2.220038609702865,0.7165714285714285,12.70336806051092,1,ITEM_002,STORE_01,naive,1
5.285714285714286,6.07100838882165,2.2919383521043275,25.06762381395141,1,ITEM_002,STORE_02,naive,1
4.785714285714286,6.22781777878209,2.0206349206349206,15.135762372823045,1,ITEM_002,STORE_03,naive,1
4.0,5.398412465054624,1.6538081107814047,14.834272850554363,1,ITEM_003,STORE_01,naive,1
4.357142857142857,5.8248237251071755,2.0886304062909566,12.694024752443319,1,ITEM_003,STORE_02,naive,1
2.5,2.9640705601780613,1.1248654467169,18.11125848940975,1,ITEM_003,STORE_03,naive,1
3.4285714285714284,4.326001122779063,1.4161490683229814,13.360267325304392,1,ITEM_004,STORE_01,naive,1
3.7142857142857144,4.825527358301296,1.7289214126630608,15.060663957637408,1,ITEM_004,STORE_02,naive,1
2.2857142857142856,2.9760952365713798,0.9719517511989537,18.311024814784215,1,ITEM_004,STORE_03,naive,1
2.2142857142857144,2.866057521105554,0.9551820728291316,28.45199443413729,1,ITEM_005,STORE_01,naive,1
3.4285714285714284,4.58257569495584,1.5181598062953996,16.37902290102644,1,ITEM_005,STORE_02,naive,1
2.642857142857143,3.5355339059327378,1.1459691760521638,27.732505589648447,1,ITEM_005,STORE_03,naive,1
3.2142857142857144,4.636809247747852,1.283258288988948,16.540322020617587,1,ITEM_006,STORE_01,naive,1
4.071428571428571,4.28452364413395,1.7472865943091813,48.83219954648525,1,ITEM_006,STORE_02,naive,1
2.642857142857143,3.7129118338191502,1.1047142857142858,14.758144516547874,1,ITEM_006,STORE_03,naive,1
3.4285714285714284,3.9641248358604595,1.4432455761760896,27.93706293706294,1,ITEM_007,STORE_01,naive,1
2.7142857142857144,3.605551275463989,1.1843125559200718,11.516079509678809,1,ITEM_007,STORE_02,naive,1
2.7857142857142856,3.5355339059327378,1.224425416854439,13.646504056167924,1,ITEM_007,STORE_03,naive,1
3.357142857142857,4.3177375027735465,1.5856335754640842,13.500728858519889,1,ITEM_008,STORE_01,naive,1
2.7142857142857144,3.0,1.1518491660623642,17.840061555231838,1,ITEM_008,STORE_02,naive,1
4.285714285714286,4.6291004988627575,1.778975741239892,40.048998620427184,1,ITEM_008,STORE_03,naive,1
2.7142857142857144,3.565709706956767,1.2239173986746803,20.519926502069357,1,ITEM_009,STORE_01,naive,1
2.5714285714285716,3.2071349029490928,1.1483516483516483,14.45699651471434,1,ITEM_009,STORE_02,naive,1
3.0,3.6645015252516173,1.378021978021978,18.47933403997477,1,ITEM_009,STORE_03,naive,1
4.857142857142857,5.694608979427072,1.9924295527828402,32.164346170316975,1,ITEM_010,STORE_01,naive,1
4.0,4.47213595499958,1.8114842903575297,14.522760251021122,1,ITEM_010,STORE_02,naive,1
3.2142857142857144,4.480114794447635,1.3951935914552736,18.74135152772924,1,ITEM_010,STORE_03,naive,1
1.7857142857142858,2.1547290184283368,0.7698887938408896,18.747680890538035,2,ITEM_001,STORE_01,naive,1
5.071428571428571,5.6631641836899425,2.0456182472989197,20.09502749953061,2,ITEM_001,STORE_02,naive,1
4.142857142857143,5.331845030434721,1.981964878974846,15.597248876854138,2,ITEM_001,STORE_03,naive,1
2.0714285714285716,2.4053511772118195,0.9747899159663866,20.45222634508349,2,ITEM_002,STORE_01,naive,1
3.7142857142857144,4.342481186734475,1.5918367346938775,17.199196982408054,2,ITEM_002,STORE_02,naive,1
5.142857142857143,6.557438524302,2.165413533834587,14.806547230358778,2,ITEM_002,STORE_03,naive,1
3.0714285714285716,4.0970372570571385,1.2819875776397516,11.296575063929835,2,ITEM_003,STORE_01,naive,1
3.5714285714285716,4.913538149119954,1.7104846373139058,10.365270520952063,2,ITEM_003,STORE_02,naive,1
3.0714285714285716,4.367084676466507,1.3821428571428571,18.512253386202964,2,ITEM_003,STORE_03,naive,1
3.5714285714285716,4.342481186734475,1.484944314588203,14.79639274124568,2,ITEM_004,STORE_01,naive,1
3.142857142857143,4.140393356054125,1.4443768996960484,12.492104245499831,2,ITEM_004,STORE_02,naive,1
2.142857142857143,2.449489742783178,0.9129332206255283,19.63512677798392,2,ITEM_004,STORE_03,naive,1
7.928571428571429,8.241879119992687,3.394591533342772,116.55741084312513,2,ITEM_005,STORE_01,naive,1
2.7142857142857144,3.401680257083045,1.1977236246899168,13.768901929560931,2,ITEM_005,STORE_02,naive,1
1.9285714285714286,2.345207879911715,0.8306509044295686,16.119287458573176,2,ITEM_005,STORE_03,naive,1
3.142857142857143,3.605551275463989,1.2536604669568656,15.28513662856874,2,ITEM_006,STORE_01,naive,1
2.0714285714285716,2.4640269015229057,0.8912919749573137,28.162551733980308,2,ITEM_006,STORE_02,naive,1
3.0714285714285716,3.882193783343198,1.280750137892995,18.67463851569336,2,ITEM_006,STORE_03,naive,1
2.357142857142857,2.7902892835178013,1.0002806623631773,23.65301365301366,2,ITEM_007,STORE_01,naive,1
3.357142857142857,4.862392121462145,1.4708780063749638,13.814208741967555,2,ITEM_007,STORE_02,naive,1
3.642857142857143,4.166190448976482,1.5960591133004927,20.81015915137985,2,ITEM_007,STORE_03,naive,1
3.0714285714285716,3.8452196667699345,1.4359925788497219,12.573580754358787,2,ITEM_008,STORE_01,naive,1
3.5,3.900549411850299,1.4736842105263157,22.95782785598277,2,ITEM_008,STORE_02,naive,1
1.9285714285714286,2.345207879911715,0.8026424442609414,18.310974739546165,2,ITEM_008,STORE_03,naive,1
2.7857142857142856,3.453776401067595,1.2721232256115975,22.577224362938647,2,ITEM_009,STORE_01,naive,1
2.7142857142857144,3.093772546815388,1.2113341204250294,15.538488122521738,2,ITEM_009,STORE_02,naive,1
2.142857142857143,2.9760952365713798,0.989010989010989,12.196628651460584,2,ITEM_009,STORE_03,naive,1
4.071428571428571,5.021382848806264,1.6655844155844153,20.67115504035009,2,ITEM_010,STORE_01,naive,1
4.5,5.763183643984088,2.054968287526427,14.736617050769848,2,ITEM_010,STORE_02,naive,1
4.357142857142857,5.063877678504601,1.8936475998850242,27.405016662535463,2,ITEM_010,STORE_03,naive,1
1.8571428571428572,2.23606797749979,0.8096634548247452,20.85230245944532,3,ITEM_001,STORE_01,naive,1
4.357142857142857,4.992852033514655,1.7714546164865215,14.97565629734223,3,ITEM_001,STORE_02,naive,1
3.357142857142857,3.770183777256185,1.5979570056411039,14.454091124050317,3,ITEM_001,STORE_03,naive,1
2.0714285714285716,3.011881234615431,0.9786622276029057,22.219645433931152,3,ITEM_002,STORE_01,naive,1
3.5714285714285716,4.3094580368566735,1.5345444536195982,15.748025943222984,3,ITEM_002,STORE_02,naive,1
5.0,5.644213218610974,2.117758784425451,16.766449205373306,3,ITEM_002,STORE_03,naive,1
4.071428571428571,5.063877678504601,1.7114581930793051,17.22681139520362,3,ITEM_003,STORE_01,naive,1
4.714285714285714,5.451081150953975,2.2779755455811794,14.734882959064596,3,ITEM_003,STORE_02,naive,1
2.7857142857142856,3.2841611235921855,1.251186879585671,23.218844647416077,3,ITEM_003,STORE_03,naive,1
3.0,3.779644730092272,1.2458100558659218,11.818865407535359,3,ITEM_004,STORE_01,naive,1
3.4285714285714284,4.0,1.5764359351988217,15.532038241180018,3,ITEM_004,STORE_02,naive,1
1.9285714285714286,2.3145502494313788,0.830253723110866,14.83069509855224,3,ITEM_004,STORE_03,naive,1
2.0,2.23606797749979,0.8511450381679388,26.681354359925784,3,ITEM_005,STORE_01,naive,1
2.9285714285714284,3.8452196667699345,1.2944924253150218,16.259942202652237,3,ITEM_005,STORE_02,naive,1
1.7142857142857142,2.6726124191242437,0.7394307819839735,12.863327149041433,3,ITEM_005,STORE_03,naive,1
3.0714285714285716,3.789082059964241,1.2285714285714286,15.574564504395475,3,ITEM_006,STORE_01,naive,1
1.7857142857142858,2.4053511772118195,0.763594028215313,29.563293849008137,3,ITEM_006,STORE_02,naive,1
3.0,4.58257569495584,1.2551594746716699,15.685608911756924,3,ITEM_006,STORE_03,naive,1
2.2142857142857144,2.632217967526897,0.9477652865368797,21.62920412920413,3,ITEM_007,STORE_01,naive,1
2.7142857142857144,4.795831523312719,1.1950359610774222,9.560894214144987,3,ITEM_007,STORE_02,naive,1
2.857142857142857,4.326001122779063,1.2407845319237725,13.190322467659835,3,ITEM_007,STORE_03,naive,1
3.857142857142857,4.956957592256421,1.7882387882387885,15.410065767744072,3,ITEM_008,STORE_01,naive,1
2.5,3.863750953228149,1.0558712121212122,12.105619059217888,3,ITEM_008,STORE_02,naive,1
2.0,2.4201534780139164,0.8352059925093633,19.565999476713763,3,ITEM_008,STORE_03,naive,1
1.9285714285714286,2.4640269015229057,0.8768020969855833,16.717815914244486,3,ITEM_009,STORE_01,naive,1
3.0714285714285716,4.008918628686366,1.369857142857143,16.24938635741378,3,ITEM_009,STORE_02,naive,1
3.642857142857143,4.0970372570571385,1.6924107142857143,20.470837333277963,3,ITEM_009,STORE_03,naive,1
3.2857142857142856,4.088310863215481,1.3419675562532705,17.89495442445753,3,ITEM_010,STORE_01,naive,1
