model,phase,item_id,store_id,fold,mae,rmse,mase,mape
snaive,2,FOODS_1_218,TX_2,1,5.928571428571429,7.363035088486657,0.5350717106775423,140.3528987352517
snaive,2,FOODS_2_197,CA_1,1,6.0,7.671840904055744,0.5784374999999999,31.609309291558397
snaive,2,FOODS_2_197,CA_3,1,5.5,6.408699444616557,0.5133111480865225,43.18258130758131
snaive,2,FOODS_2_276,CA_3,1,4.928571428571429,6.147008563985761,0.4937373877948647,43.108280608280616
snaive,2,FOODS_2_360,CA_3,1,9.928571428571429,12.814612195235785,0.7593498766335722,
snaive,2,FOODS_2_360,TX_3,1,9.785714285714286,15.590748172279245,0.9126036448436691,
snaive,2,FOODS_2_360,WI_2,1,61.714285714285715,96.81351735608588,3.129846645217351,
snaive,2,FOODS_3_007,WI_2,1,0.0,0.0,0.0,
snaive,2,FOODS_3_030,TX_2,1,4.571428571428571,6.761234037828133,0.40083914190972453,26.508073314796004
snaive,2,FOODS_3_030,TX_3,1,8.357142857142858,10.159443179342345,0.707060582711922,45.988623343487475
snaive,2,FOODS_3_080,CA_1,1,8.428571428571429,11.058287131636359,1.2840564373897707,56.08950658082439
snaive,2,FOODS_3_080,TX_2,1,3.4285714285714284,4.2594432902501635,0.5565940812388804,20.493909102102382
snaive,2,FOODS_3_090,CA_1,1,14.642857142857142,19.76468712484104,0.4895940854665566,26.447814982194544
snaive,2,FOODS_3_090,CA_2,1,17.785714285714285,23.0201774847322,1.2529059652480263,58.5692500446391
snaive,2,FOODS_3_090,CA_3,1,26.5,31.232995373482833,0.4988863123207421,24.217310756158547
snaive,2,FOODS_3_090,CA_4,1,11.0,12.54136014496491,0.8965259125533882,42.50625369164661
snaive,2,FOODS_3_090,TX_1,1,18.0,23.817760480064333,0.7095578839764887,27.54841108373421
snaive,2,FOODS_3_090,TX_2,1,11.642857142857142,12.663220082472817,0.40651391276697796,20.401359894339652
snaive,2,FOODS_3_090,TX_3,1,16.714285714285715,21.944735782675274,0.6364432506457974,25.537648743396602
snaive,2,FOODS_3_090,WI_3,1,21.785714285714285,25.811127168612487,0.8083339776466242,26.384347976271705
snaive,2,FOODS_3_099,TX_2,1,6.642857142857143,8.631338250816034,0.9491260958262117,47.164288929139694
snaive,2,FOODS_3_120,CA_1,1,24.785714285714285,36.73942996680425,1.4541476115010188,
snaive,2,FOODS_3_120,CA_3,1,31.857142857142858,42.11548748043035,1.9752645103866087,
snaive,2,FOODS_3_120,WI_3,1,17.285714285714285,24.22513452712168,1.7942943664679867,
snaive,2,FOODS_3_202,CA_3,1,9.285714285714286,11.051825964195109,0.8468176155519113,51.85030411752908
snaive,2,FOODS_3_202,TX_1,1,4.0,5.5805785670356025,0.4108996059714745,22.456376094574853
snaive,2,FOODS_3_202,TX_2,1,11.928571428571429,15.517271483276765,1.1082004474144607,60.14778963082426
snaive,2,FOODS_3_202,TX_3,1,8.428571428571429,9.906707684334748,0.8790942533546917,29.610716254289205
snaive,2,FOODS_3_226,WI_1,1,5.5,6.850443155633906,0.5590609555189456,14.53901152009677
snaive,2,FOODS_3_226,WI_2,1,8.714285714285714,9.9498743710662,0.8330824737704191,19.212018898125358
snaive,2,FOODS_3_226,WI_3,1,9.214285714285714,11.016221805008415,0.736649369720678,17.76147191254733
snaive,2,FOODS_3_234,CA_3,1,10.071428571428571,13.041143683413223,0.5402131121074005,
snaive,2,FOODS_3_234,WI_2,1,1.0714285714285714,2.052872551885702,0.036447435092979354,
snaive,2,FOODS_3_234,WI_3,1,15.785714285714286,18.402251415054007,0.7680815189226946,
snaive,2,FOODS_3_252,CA_1,1,8.285714285714286,9.877825093178588,0.6994188773648825,25.98279173268353
snaive,2,FOODS_3_252,CA_2,1,8.285714285714286,11.148350294358098,0.8891447123228677,23.1957247880684
snaive,2,FOODS_3_252,CA_3,1,7.428571428571429,8.96022958889527,0.5833313131802865,25.234750933744394
snaive,2,FOODS_3_252,TX_1,1,9.642857142857142,11.67108759774708,0.9640253076655994,61.01097206857576
snaive,2,FOODS_3_252,TX_2,1,10.5,12.4585025470273,0.6377104045673787,18.93510939624488
snaive,2,FOODS_3_252,TX_3,1,9.285714285714286,10.064080399406311,0.6574051307269897,27.583667663693685
snaive,2,FOODS_3_252,WI_3,1,5.714285714285714,6.917885721601857,0.745446673982864,35.741431975598815
snaive,2,FOODS_3_281,CA_3,1,5.785714285714286,8.172252705693474,0.49866628528856133,42.646654043352314
snaive,2,FOODS_3_282,CA_3,1,22.714285714285715,27.04493615131253,2.8456272661348803,
snaive,2,FOODS_3_288,CA_3,1,7.714285714285714,9.732126474429199,0.7893390191897655,22.662420318141066
snaive,2,FOODS_3_318,CA_3,1,11.642857142857142,13.144797993339962,0.9009208884005089,65.78578126477028
snaive,2,FOODS_3_318,WI_3,1,3.7142857142857144,5.331845030434721,0.2337450398511834,19.651573771355984
snaive,2,FOODS_3_319,CA_3,1,5.785714285714286,6.777062153217383,0.4145450624315686,39.42214844470483
snaive,2,FOODS_3_376,WI_2,1,17.0,19.526538717492006,1.2414976722165232,93.25783851684038
snaive,2,FOODS_3_377,TX_2,1,4.071428571428571,5.257647491307984,0.45070356352576313,13.252077087105137
snaive,2,FOODS_3_377,TX_3,1,8.571428571428571,12.06529852806919,0.8351255019325342,18.994899008170858
snaive,2,FOODS_3_412,WI_2,1,20.857142857142858,30.71528237585602,0.9117149941804565,
snaive,2,FOODS_3_462,WI_2,1,12.857142857142858,15.32504952217587,1.0458611922026557,70.42957120985072
snaive,2,FOODS_3_501,CA_3,1,15.714285714285714,17.037773161000654,1.5192281864171553,108.92965725119639
snaive,2,FOODS_3_541,CA_3,1,15.857142857142858,19.26877563016691,0.745077205375728,
snaive,2,FOODS_3_547,WI_2,1,20.571428571428573,24.561875219244037,0.9322947453838917,
snaive,2,FOODS_3_555,CA_1,1,5.714285714285714,7.0710678118654755,0.8660560760781837,32.706460677598194
snaive,2,FOODS_3_555,CA_3,1,4.857142857142857,5.490251100164468,0.5531297790434002,17.890200459279974
snaive,2,FOODS_3_555,TX_1,1,7.214285714285714,8.022290374770964,0.6506671956898532,33.699992599449125
snaive,2,FOODS_3_555,TX_2,1,5.714285714285714,6.535616704970214,0.42413757547288705,13.110023038188656
snaive,2,FOODS_3_555,TX_3,1,10.571428571428571,13.0,0.8692898394364409,67.6386072770416
snaive,2,FOODS_3_555,WI_3,1,4.928571428571429,6.562882641905809,0.521063840203662,18.688362255293075
snaive,2,FOODS_3_586,CA_1,1,8.714285714285714,10.562737740350679,0.7809694421004578,28.129218687001746
snaive,2,FOODS_3_586,CA_2,1,5.714285714285714,6.579187965525403,0.6561095997235195,15.854396850310001
snaive,2,FOODS_3_586,CA_3,1,11.357142857142858,14.06870894675739,0.7827991595074075,19.031327328313804
snaive,2,FOODS_3_586,TX_1,1,3.5,4.217311262607288,0.2462933394160584,8.48324515516138
snaive,2,FOODS_3_586,TX_2,1,14.714285714285714,17.928429140015904,0.7335741989103333,17.01355843537477
snaive,2,FOODS_3_586,TX_3,1,10.357142857142858,12.831323281051613,0.6013699121230726,17.29876855986055
snaive,2,FOODS_3_586,WI_3,1,10.071428571428571,11.523268385562938,0.8965620298039861,29.968418769963428
snaive,2,FOODS_3_587,CA_1,1,8.285714285714286,14.157279803287475,0.8590633026862233,40.581390003852405
snaive,2,FOODS_3_587,CA_3,1,10.642857142857142,13.646035531035588,0.7911617900172117,26.125439852905856
snaive,2,FOODS_3_587,TX_1,1,6.785714285714286,8.353784428970759,0.7227318685112574,19.396058424804092
snaive,2,FOODS_3_587,TX_2,1,6.071428571428571,7.186296483088987,0.6310058554584101,17.79460535588284
