model,phase,item_id,store_id,fold,mae,rmse,mase,mape
lstm,2,FOODS_3_226,WI_3,1,7.570447921752929,9.61239383116421,0.6052303849680245,14.190985993311761
lstm,2,FOODS_3_234,CA_3,1,11.63489818572998,13.792676384838341,0.624074778805129,
lstm,2,FOODS_3_234,WI_2,1,28.862831047603063,30.190141330117427,0.9818444171266658,
lstm,2,FOODS_3_234,WI_3,1,17.935272080557688,20.17037345865996,0.8726720104387856,
lstm,2,FOODS_3_252,CA_1,1,7.924802098955427,10.08652281041239,0.6689533329608944,26.943606129352236
lstm,2,FOODS_3_252,CA_2,1,7.832940374101911,9.569291831804087,0.8405572863622609,27.483901347083332
lstm,2,FOODS_3_252,CA_3,1,9.031488691057477,10.739151911002967,0.7092009828248511,34.096221859310425
lstm,2,FOODS_3_252,TX_1,1,8.788521630423409,9.82388059328509,0.8786148278646357,56.93456997387386
lstm,2,FOODS_3_252,TX_2,1,9.599302836826869,10.837102848469769,0.5830071710131094,20.143667615649143
lstm,2,FOODS_3_252,TX_3,1,10.117182731628418,11.7358652555763,0.7162709977526946,36.744884128557466
lstm,2,FOODS_3_252,WI_3,1,4.358790602002825,5.646133533772573,0.568618042448885,32.485158505404314
lstm,2,FOODS_3_281,CA_3,1,6.740535054888044,7.449532241005914,0.5809615564629247,55.51168844594165
lstm,2,FOODS_3_282,CA_3,1,18.487899780273438,24.16109547118564,2.316149068919535,
lstm,2,FOODS_3_288,CA_3,1,8.19619859967913,9.633978205532456,0.8386491767830885,26.715553275898863
lstm,2,FOODS_3_318,CA_3,1,9.813172612871442,10.944895363615855,0.7593404333608562,54.86249181632938
lstm,2,FOODS_3_318,WI_3,1,7.273271015712193,8.38725700709594,0.45771681399664327,39.750590893199664
lstm,2,FOODS_3_319,CA_3,1,7.585969652448382,8.871467460439856,0.5435329343764789,58.0445971308811
lstm,2,FOODS_3_376,WI_2,1,17.196100779942103,19.301163280197528,1.2558187699705212,89.93060000883685
lstm,2,FOODS_3_377,TX_2,1,7.685992104666574,8.503222379379826,0.8508325689694294,27.51488135336972
lstm,2,FOODS_3_377,TX_3,1,5.956216675894601,7.622712922135294,0.5803219847921312,14.954938146762489
lstm,2,FOODS_3_412,WI_2,1,21.940188544137136,26.06609685487492,0.9590574801085805,
lstm,2,FOODS_3_462,WI_2,1,12.454694611685616,13.793536221607738,1.013124136507584,69.12707925847164
lstm,2,FOODS_3_501,CA_3,1,16.509566715785436,17.338051406209896,1.596114488191729,111.0107363447842
lstm,2,FOODS_3_541,CA_3,1,15.44324016571045,18.97237594057502,0.7256292213720374,
lstm,2,FOODS_3_547,WI_2,1,20.48446662085397,24.340552267493543,0.9283536399187301,
lstm,2,FOODS_3_555,CA_1,1,3.690173285348075,4.354005519464302,0.5592819742224914,22.594207467722626
lstm,2,FOODS_3_555,CA_3,1,6.5699150902884345,7.055174303325476,0.7481796992816471,24.508493823683207
lstm,2,FOODS_3_555,TX_1,1,4.8931732177734375,5.9066406685973165,0.44132259543432406,24.47217214349539
lstm,2,FOODS_3_555,TX_2,1,7.578089850289481,8.782622169389308,0.5624767147680579,17.976217082599916
lstm,2,FOODS_3_555,TX_3,1,10.235398701259069,11.756619106954979,0.8416580629067318,60.36607383485328
lstm,2,FOODS_3_555,WI_3,1,5.757494517735074,6.726671321883652,0.6087001572039994,25.036157840966368
lstm,2,FOODS_3_586,CA_1,1,6.7387425558907665,8.40613051482736,0.6039223623004653,21.75227166007043
lstm,2,FOODS_3_586,CA_2,1,7.042296409606934,7.68337489545713,0.8085906987272772,20.39456558340495
lstm,2,FOODS_3_586,CA_3,1,8.399754932948522,9.941941025381036,0.5789590907051839,13.400959267704366
lstm,2,FOODS_3_586,TX_1,1,7.6464802878243585,8.702099919301252,0.5380791899620928,18.116713498745728
lstm,2,FOODS_3_586,TX_2,1,11.89270727975028,14.470589799161713,0.5929056554303428,13.343687304435909
lstm,2,FOODS_3_586,TX_3,1,14.507477079119,18.46999699573647,0.8423520208742203,23.711668915339736
lstm,2,FOODS_3_586,WI_3,1,5.100313186645508,6.141199591697977,0.4540316312451707,15.143988991604221
lstm,2,FOODS_3_587,CA_1,1,8.44368280683245,11.39883059321392,0.875441487450113,229.44222244627613
lstm,2,FOODS_3_587,CA_3,1,9.496990885053362,11.968989944754416,0.7059811296479427,27.549262875854446
lstm,2,FOODS_3_587,TX_1,1,6.4064803804670065,7.382668140185468,0.682340478982935,17.408024295263363
lstm,2,FOODS_3_587,TX_2,1,4.549110821315219,5.364801305115404,0.47279079900361987,13.386476440992933
lstm,2,FOODS_3_587,TX_3,1,10.838067190987724,14.069137539897287,1.4303930388961337,20.54757157358224
