model,phase,item_id,store_id,fold,mae,rmse,mase,mape
prophet,2,FOODS_1_218,TX_2,1,5.484024033732056,6.371110405865626,0.4949499481416957,147.64363599173703
prophet,2,FOODS_2_197,CA_1,1,4.041215362856796,5.397490787873089,0.389598418575413,21.08504124377484
prophet,2,FOODS_2_197,CA_3,1,4.638528551234545,5.53561932595037,0.4329106211029669,51.32225503970892
prophet,2,FOODS_2_276,CA_3,1,3.4936393589476644,4.658313627542517,0.34998790135910196,39.77115322452422
prophet,2,FOODS_2_360,CA_3,1,7.128116441632607,8.245069596805996,0.5451674875407799,
prophet,2,FOODS_2_360,TX_3,1,11.347847300005313,13.886913438438338,1.0582862430627686,
prophet,2,FOODS_2_360,WI_2,1,61.260733680106874,87.26627511394194,3.106844704966788,
prophet,2,FOODS_3_007,WI_2,1,8.043259906162977,10.48262809313866,0.2817896446664585,
prophet,2,FOODS_3_030,TX_2,1,6.22892452462351,7.889323727304497,0.5461742915716777,35.810947114182454
prophet,2,FOODS_3_030,TX_3,1,6.149291538780688,8.384185715826122,0.5202641300979548,33.50538265789195
prophet,2,FOODS_3_080,CA_1,1,4.2723680637125,7.552036099295012,0.6508768136569414,19.236035164409518
prophet,2,FOODS_3_080,TX_2,1,2.9069538073721115,3.474161063555362,0.4719147077219592,16.763360676533583
prophet,2,FOODS_3_090,CA_1,1,13.72486368041426,18.896388566504342,0.4589003372913077,25.314982327219926
prophet,2,FOODS_3_090,CA_2,1,14.241288575686287,15.422740306340716,1.0032206254222604,48.822832717020134
prophet,2,FOODS_3_090,CA_3,1,22.047879023011035,25.056290682336556,0.4150711343503329,21.955327602971224
prophet,2,FOODS_3_090,CA_4,1,5.5981371257102035,6.971608084125545,0.45626136320239474,21.572189946882965
prophet,2,FOODS_3_090,TX_1,1,14.712857518913856,19.29902990242617,0.579979113798227,21.759011671630763
prophet,2,FOODS_3_090,TX_2,1,8.6064804450568,10.360269749634185,0.3004978930810755,15.821484656710577
prophet,2,FOODS_3_090,TX_3,1,14.478340459673486,17.510771968812076,0.5513033714767362,22.89806335511451
prophet,2,FOODS_3_090,WI_3,1,21.989802287152173,27.012677807256743,0.8159064292003663,29.955628132529448
prophet,2,FOODS_3_099,TX_2,1,7.9661354416536545,9.065581113989026,1.1381950368584264,52.65321826557459
prophet,2,FOODS_3_120,CA_1,1,18.232506809334787,20.37214964697451,1.0696789256443324,
prophet,2,FOODS_3_120,CA_3,1,20.64577923402259,22.84645307852055,1.2801171527878543,
prophet,2,FOODS_3_120,WI_3,1,18.079537047198823,18.95338211687052,1.8766948785534443,
prophet,2,FOODS_3_202,CA_3,1,6.109046165900257,7.225932218179087,0.5571190054235294,37.136744788642275
prophet,2,FOODS_3_202,TX_1,1,4.7842162253773655,6.312087428272071,0.49145814047247366,26.310940367031826
prophet,2,FOODS_3_202,TX_2,1,4.244085152866281,5.159532867558434,0.3942883767293458,23.059652391860958
prophet,2,FOODS_3_202,TX_3,1,6.068554893263688,6.944424693307628,0.6329461377940545,19.401317183823032
prophet,2,FOODS_3_226,WI_1,1,4.448274374780744,5.826623716346487,0.4521557313409751,11.086694013148366
prophet,2,FOODS_3_226,WI_2,1,5.838310471783137,7.999249558079021,0.5581403100542601,12.40817439760547
prophet,2,FOODS_3_226,WI_3,1,6.412057991819357,8.503789522825416,0.5126212302015993,12.100867537992126
prophet,2,FOODS_3_234,CA_3,1,9.891931840283025,11.133242339293371,0.530585233891561,
prophet,2,FOODS_3_234,WI_2,1,16.816492585286763,18.721373124220552,0.572056820527554,
prophet,2,FOODS_3_234,WI_3,1,18.602260211748153,22.062329335849928,0.9051254837270867,
prophet,2,FOODS_3_252,CA_1,1,7.061592082978132,9.38236505826449,0.5960875111999508,21.690568512487516
prophet,2,FOODS_3_252,CA_2,1,5.163017886600285,6.089803127000946,0.5540463857671243,15.934619442926534
prophet,2,FOODS_3_252,CA_3,1,9.125831064339053,11.806562582656705,0.716609252506855,35.861839940733994
prophet,2,FOODS_3_252,TX_1,1,8.616714820442095,10.186714036267034,0.8614387865319102,57.333790918934504
prophet,2,FOODS_3_252,TX_2,1,8.423118702686086,9.180734680006788,0.5115724224389522,16.27739701338953
prophet,2,FOODS_3_252,TX_3,1,9.246819355578369,10.4766045402705,0.6546514678590767,30.384184015679004
prophet,2,FOODS_3_252,WI_3,1,4.218006238288987,6.9363072516813205,0.5502522762050119,32.30910713471981
prophet,2,FOODS_3_281,CA_3,1,4.398220283829288,5.7264134327846605,0.37907923940063387,33.969409177269874
prophet,2,FOODS_3_282,CA_3,1,19.425594794411648,23.241525180910312,2.433622738711063,
prophet,2,FOODS_3_288,CA_3,1,7.856596911442812,9.636675929800962,0.8039005463283938,23.054328362966064
prophet,2,FOODS_3_318,CA_3,1,6.775084632818456,8.598187331544194,0.5242540719596573,34.08926136936357
prophet,2,FOODS_3_318,WI_3,1,7.498505119516843,9.154873815633389,0.47189110176539883,28.23724371789988
prophet,2,FOODS_3_319,CA_3,1,5.12735010050177,6.111547372423255,0.367373424015978,37.510092237454415
prophet,2,FOODS_3_376,WI_2,1,11.000759490677114,13.149208013129996,0.8033774882523214,47.113902514070546
prophet,2,FOODS_3_377,TX_2,1,5.878897516220991,6.802979511019891,0.6507887867068389,20.781869629866495
prophet,2,FOODS_3_377,TX_3,1,5.633376620568378,6.613936399308425,0.5488672557465032,14.314233260609285
prophet,2,FOODS_3_412,WI_2,1,18.96039850011195,24.003489818636,0.8288038168309652,
prophet,2,FOODS_3_462,WI_2,1,9.620225792836347,11.707055078357804,0.7825549524297991,46.803377179115856
prophet,2,FOODS_3_501,CA_3,1,6.2250453373276455,7.532967533656458,0.601825912430454,43.04722779679406
prophet,2,FOODS_3_541,CA_3,1,14.672221812101371,18.212399205885298,0.6894014970350723,
prophet,2,FOODS_3_547,WI_2,1,18.679264761298693,22.075223624084646,0.8465421020288392,
prophet,2,FOODS_3_555,CA_1,1,3.666801450218151,4.6760847321697625,0.5557397432534019,19.925700724175698
prophet,2,FOODS_3_555,CA_3,1,4.361688869265689,5.324123735757424,0.4967076471644389,16.276889068293674
prophet,2,FOODS_3_555,TX_1,1,6.7109588081104175,8.26782844821517,0.6052713908206588,27.16045942958229
