fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
3,ITEM_010,STORE_03,0.131013,0.04,25.0,True,
4,ITEM_001,STORE_01,0.128735,0.04,12.5,True,
4,ITEM_001,STORE_02,0.134916,0.04,22.3,True,
4,ITEM_001,STORE_03,0.137188,0.04,11.1,True,
4,ITEM_002,STORE_01,0.126516,0.04,12.5,True,
4,ITEM_002,STORE_02,0.13179,0.04,25.0,True,
4,ITEM_002,STORE_03,0.115456,0.04,14.2,True,
4,ITEM_003,STORE_01,0.121931,0.04,0.0,True,
4,ITEM_003,STORE_02,0.120364,0.04,28.4,True,
4,ITEM_003,STORE_03,0.128925,0.04,25.0,True,
4,ITEM_004,STORE_01,0.127288,0.04,25.0,True,
4,ITEM_004,STORE_02,0.142754,0.04,11.1,True,
4,ITEM_004,STORE_03,0.127376,0.04,0.0,True,
4,ITEM_005,STORE_01,0.132057,0.04,22.3,True,
4,ITEM_005,STORE_02,0.126479,0.04,37.5,True,
4,ITEM_005,STORE_03,0.142607,0.04,33.2,True,
4,ITEM_006,STORE_01,0.128577,0.04,25.0,True,
4,ITEM_006,STORE_02,0.119837,0.1,42.6,True,
4,ITEM_006,STORE_03,0.127295,0.04,37.5,True,
4,ITEM_007,STORE_01,0.120325,0.04,25.0,True,
4,ITEM_007,STORE_02,0.118834,0.04,25.0,True,
4,ITEM_007,STORE_03,0.11793,0.04,28.4,True,
4,ITEM_008,STORE_01,0.126678,0.04,12.5,True,
4,ITEM_008,STORE_02,0.129757,0.04,12.5,True,
4,ITEM_008,STORE_03,0.131293,0.04,22.2,True,
4,ITEM_009,STORE_01,0.123906,0.04,12.5,True,
4,ITEM_009,STORE_02,0.129268,0.04,11.2,True,
4,ITEM_009,STORE_03,0.142903,0.04,22.2,True,
4,ITEM_010,STORE_01,0.145746,0.04,11.1,True,
4,ITEM_010,STORE_02,0.124142,0.04,25.0,True,
4,ITEM_010,STORE_03,0.135398,0.04,12.5,True,
5,ITEM_001,STORE_01,0.138512,0.04,11.1,True,
5,ITEM_001,STORE_02,0.135579,0.1,25.0,True,
5,ITEM_001,STORE_03,0.135328,0.04,22.2,True,
5,ITEM_002,STORE_01,0.136894,0.04,22.3,True,
5,ITEM_002,STORE_02,0.127451,0.04,12.5,True,
5,ITEM_002,STORE_03,0.142222,0.04,22.2,True,
5,ITEM_003,STORE_01,0.169859,0.04,18.3,True,
5,ITEM_003,STORE_02,0.140299,0.04,0.0,True,
5,ITEM_003,STORE_03,0.129082,0.04,22.2,True,
5,ITEM_004,STORE_01,0.129887,0.04,22.3,True,
