fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
3,ITEM_010,STORE_03,2.229573,0.07,2.1,True,
4,ITEM_001,STORE_01,4.754133,0.0,0.0,True,
4,ITEM_001,STORE_02,4.422914,0.0,1.4,True,
4,ITEM_001,STORE_03,3.220625,40.05,1.0,True,
4,ITEM_002,STORE_01,5.131818,7.78,0.9,True,
4,ITEM_002,STORE_02,4.691711,0.0,0.3,True,
4,ITEM_002,STORE_03,5.167983,0.0,0.6,True,
4,ITEM_003,STORE_01,4.884606,9.03,1.3,True,
4,ITEM_003,STORE_02,5.111839,0.0,1.5,True,
4,ITEM_003,STORE_03,10.878642,45.43,1.4,True,
4,ITEM_004,STORE_01,3.048802,0.0,1.5,True,
4,ITEM_004,STORE_02,4.395583,6.39,2.1,True,
4,ITEM_004,STORE_03,7.725381,7.82,1.0,True,
4,ITEM_005,STORE_01,5.108789,0.0,0.6,True,
4,ITEM_005,STORE_02,4.13184,0.0,2.7,True,
4,ITEM_005,STORE_03,5.222235,1.7,1.5,True,
4,ITEM_006,STORE_01,2.346099,0.0,1.3,True,
4,ITEM_006,STORE_02,5.036123,6.02,1.9,True,
4,ITEM_006,STORE_03,3.991128,0.0,3.5,True,
4,ITEM_007,STORE_01,2.933801,0.54,2.1,True,
4,ITEM_007,STORE_02,4.366501,0.0,2.2,True,
4,ITEM_007,STORE_03,2.812488,0.26,1.7,True,
4,ITEM_008,STORE_01,4.52656,2.82,0.7,True,
4,ITEM_008,STORE_02,5.20997,5.94,0.0,True,
4,ITEM_008,STORE_03,5.025325,0.0,6.2,True,
4,ITEM_009,STORE_01,5.346583,0.0,7.0,True,
4,ITEM_009,STORE_02,3.068542,0.41,2.5,True,
4,ITEM_009,STORE_03,4.439423,3.59,4.2,True,
4,ITEM_010,STORE_01,4.133154,0.0,1.1,True,
4,ITEM_010,STORE_02,4.484417,2.94,2.1,True,
4,ITEM_010,STORE_03,4.146906,0.0,1.1,True,
5,ITEM_001,STORE_01,5.287846,5.94,2.7,True,
5,ITEM_001,STORE_02,4.965945,2.37,4.7,True,
5,ITEM_001,STORE_03,2.474002,0.0,4.4,True,
5,ITEM_002,STORE_01,5.24747,62.65,6.0,True,
5,ITEM_002,STORE_02,4.397888,0.52,7.1,True,
5,ITEM_002,STORE_03,3.73568,0.61,3.3,True,
5,ITEM_003,STORE_01,9.136048,0.0,7.0,True,
5,ITEM_003,STORE_02,5.090262,0.0,16.6,True,
5,ITEM_003,STORE_03,4.322421,56.45,1.8,True,
5,ITEM_004,STORE_01,4.054575,3.2,5.0,True,
5,ITEM_004,STORE_02,4.488335,0.0,2.8,True,
5,ITEM_004,STORE_03,8.607559,13.72,0.7,True,
5,ITEM_005,STORE_01,5.444076,0.0,1.7,True,
5,ITEM_005,STORE_02,4.438953,0.0,1.1,True,
5,ITEM_005,STORE_03,5.165683,0.0,10.9,True,
5,ITEM_006,STORE_01,2.637577,50.5,6.5,True,
5,ITEM_006,STORE_02,5.606826,7.62,3.9,True,
5,ITEM_006,STORE_03,3.832412,0.0,1.6,True,
5,ITEM_007,STORE_01,3.564834,1.43,6.6,True,
5,ITEM_007,STORE_02,4.296219,0.0,4.7,True,
5,ITEM_007,STORE_03,2.725199,0.14,9.7,True,
5,ITEM_008,STORE_01,4.217887,0.0,6.3,True,
5,ITEM_008,STORE_02,5.33037,65.95,4.4,True,
5,ITEM_008,STORE_03,3.587485,0.0,3.9,True,
5,ITEM_009,STORE_01,4.850073,0.0,2.9,True,
5,ITEM_009,STORE_02,3.692839,0.82,7.2,True,
5,ITEM_009,STORE_03,4.286955,0.0,7.3,True,
5,ITEM_010,STORE_01,4.029888,0.36,3.5,True,
5,ITEM_010,STORE_02,4.994445,0.0,4.4,True,
5,ITEM_010,STORE_03,4.743245,63.18,3.0,True,
6,ITEM_001,STORE_01,5.064138,3.8,1.9,True,
6,ITEM_001,STORE_02,4.539121,6.46,22.1,True,
6,ITEM_001,STORE_03,4.534559,3.05,2.4,True,
6,ITEM_002,STORE_01,5.540172,0.0,3.4,True,
6,ITEM_002,STORE_02,4.671074,0.0,8.7,True,
6,ITEM_002,STORE_03,4.5156,0.53,2.8,True,
6,ITEM_003,STORE_01,3.168438,0.08,3.0,True,
6,ITEM_003,STORE_02,5.153744,4.77,2.1,True,
6,ITEM_003,STORE_03,4.597774,1.29,3.7,True,
6,ITEM_004,STORE_01,4.186455,0.32,2.2,True,
6,ITEM_004,STORE_02,4.541691,0.0,2.7,True,
6,ITEM_004,STORE_03,5.073687,0.0,2.2,True,
6,ITEM_005,STORE_01,5.104137,80.43,2.1,True,
6,ITEM_005,STORE_02,4.177155,0.0,4.1,True,
6,ITEM_005,STORE_03,4.882772,2.95,2.2,True,
6,ITEM_006,STORE_01,2.860169,0.41,3.3,True,
