fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_3_090,CA_3,0.553071,4.85,16.7,True,
1,FOODS_3_586,TX_2,0.286553,1.11,27.8,True,
1,FOODS_3_586,TX_3,0.364634,0.05,58.3,True,
1,FOODS_3_586,CA_3,0.226592,0.04,35.7,True,
1,FOODS_3_090,CA_1,0.299973,0.04,26.3,True,
1,FOODS_3_090,WI_3,0.319528,0.04,25.0,True,
1,FOODS_3_090,TX_2,0.263154,0.1,29.5,True,
1,FOODS_3_090,TX_3,0.352048,0.1,17.4,True,
1,FOODS_3_252,TX_2,0.35079,0.78,21.8,True,
1,FOODS_3_586,TX_1,0.347183,0.04,27.3,True,
1,FOODS_3_226,WI_3,0.31045,0.08,15.0,True,
1,FOODS_3_555,TX_2,0.288301,0.04,26.3,True,
1,FOODS_3_090,TX_1,0.282867,0.04,16.7,True,
1,FOODS_3_120,CA_3,0.324708,0.04,23.7,True,
1,FOODS_3_586,CA_1,0.250456,0.04,31.2,True,
1,FOODS_3_252,TX_3,0.223878,0.08,33.4,True,
1,FOODS_3_586,WI_3,0.280572,0.04,33.4,True,
1,FOODS_3_694,WI_3,0.24628,0.04,31.2,True,
1,FOODS_3_252,CA_3,0.264827,0.04,35.2,True,
1,FOODS_3_541,CA_3,0.274146,0.04,29.5,True,
1,FOODS_3_635,CA_3,0.304418,0.07,31.6,True,
1,FOODS_3_226,WI_1,0.254612,0.04,31.2,True,
1,FOODS_3_555,TX_3,0.224612,0.04,35.8,True,
1,FOODS_3_252,CA_1,0.238962,0.04,26.6,True,
1,FOODS_3_377,TX_3,0.280599,0.04,27.7,True,
1,FOODS_3_808,CA_3,0.323956,0.07,30.0,True,
1,FOODS_3_587,CA_3,0.328587,0.04,14.3,True,
1,FOODS_3_226,WI_2,0.304517,0.04,26.3,True,
1,FOODS_3_555,TX_1,0.263776,0.04,29.5,True,
1,FOODS_3_586,CA_2,0.239043,0.04,31.2,True,
1,FOODS_3_377,TX_2,0.229206,0.07,33.2,True,
1,FOODS_3_120,CA_1,0.314798,0.04,30.0,True,
1,FOODS_3_694,WI_2,0.329629,0.04,28.6,True,
1,FOODS_3_555,CA_3,0.261991,0.04,29.4,True,
1,FOODS_3_555,WI_3,0.2499,0.04,31.2,True,
1,FOODS_3_252,CA_2,0.414056,0.07,23.1,True,
1,FOODS_3_090,CA_2,0.33711,0.04,27.3,True,
1,FOODS_3_252,TX_1,0.277963,0.04,27.8,True,
1,FOODS_3_681,CA_3,0.227284,0.04,33.4,True,
1,FOODS_3_318,WI_3,0.292181,0.04,27.8,True,
1,FOODS_3_714,WI_3,0.242802,0.07,33.4,True,
1,FOODS_3_714,CA_1,0.227944,0.04,33.2,True,
1,FOODS_3_007,WI_2,0.256571,0.04,31.2,True,
1,FOODS_3_090,CA_4,0.243647,0.04,33.2,True,
1,FOODS_3_714,CA_3,0.216472,0.04,35.7,True,
1,FOODS_3_587,CA_1,0.307426,0.04,25.0,True,
1,FOODS_3_202,CA_3,0.287731,0.07,27.8,True,
1,FOODS_3_234,WI_2,0.267204,0.04,35.2,True,
1,FOODS_3_587,TX_2,0.257768,0.04,29.5,True,
1,FOODS_2_360,WI_2,0.24273,0.04,31.2,True,
1,FOODS_3_681,WI_3,0.289304,0.04,36.8,True,
1,FOODS_3_607,CA_3,0.323295,0.07,23.8,True,
1,FOODS_3_587,TX_1,0.272494,0.04,29.4,True,
1,FOODS_3_030,TX_3,0.374151,0.04,25.0,True,
1,FOODS_3_281,CA_3,0.338051,0.04,28.5,True,
1,FOODS_3_319,CA_3,0.28543,0.04,26.4,True,
1,FOODS_3_714,TX_2,0.240624,0.07,33.2,True,
1,FOODS_3_808,CA_1,0.254798,0.04,29.5,True,
1,FOODS_3_723,CA_3,0.268443,0.04,29.4,True,
1,FOODS_3_318,CA_3,0.329962,0.04,23.8,True,
