fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_3_090,CA_3,10.517118,67.82,8.5,True,
1,FOODS_3_586,TX_2,27.27536,3.08,9.2,True,
1,FOODS_3_586,TX_3,38.813565,1.1,1.0,True,
1,FOODS_3_586,CA_3,16.052718,0.0,1.1,True,
1,FOODS_3_090,CA_1,24.559957,2.05,1.4,True,
1,FOODS_3_090,WI_3,27.16303,0.0,1.9,True,
1,FOODS_3_090,TX_2,14.363424,0.0,1.3,True,
1,FOODS_3_090,TX_3,10.505968,2.0,0.9,True,
1,FOODS_3_252,TX_2,38.903656,2.49,0.5,True,
1,FOODS_3_586,TX_1,24.745127,0.0,1.5,True,
1,FOODS_3_226,WI_3,11.649805,6.79,0.9,True,
1,FOODS_3_555,TX_2,39.934639,0.0,0.5,True,
1,FOODS_3_090,TX_1,9.004083,2.48,0.9,True,
1,FOODS_3_120,CA_3,15.633488,0.33,1.0,True,
1,FOODS_3_586,CA_1,24.944136,0.0,0.9,True,
1,FOODS_3_252,TX_3,16.284546,7.52,1.2,True,
1,FOODS_3_586,WI_3,16.52057,66.2,0.8,True,
1,FOODS_3_694,WI_3,10.905947,0.0,2.1,True,
1,FOODS_3_252,CA_3,21.81761,75.48,0.9,True,
1,FOODS_3_541,CA_3,21.931958,2.59,1.0,True,
1,FOODS_3_635,CA_3,25.637222,14.63,1.5,True,
1,FOODS_3_226,WI_1,11.14812,0.08,0.8,True,
1,FOODS_3_555,TX_3,24.761598,4.8,0.6,True,
1,FOODS_3_252,CA_1,28.42495,0.0,0.6,True,
1,FOODS_3_377,TX_3,29.914524,100.73,1.0,True,
1,FOODS_3_808,CA_3,15.887779,0.0,2.9,True,
1,FOODS_3_587,CA_3,30.466916,0.0,1.5,True,
1,FOODS_3_226,WI_2,25.401701,108.78,1.8,True,
1,FOODS_3_555,TX_1,14.240713,0.0,1.3,True,
1,FOODS_3_586,CA_2,16.02466,1.93,0.7,True,
1,FOODS_3_377,TX_2,22.124718,0.93,0.9,True,
1,FOODS_3_120,CA_1,20.417359,0.0,1.4,True,
1,FOODS_3_694,WI_2,24.765895,0.0,1.1,True,
1,FOODS_3_555,CA_3,21.052244,103.44,1.1,True,
1,FOODS_3_555,WI_3,26.65533,8.3,0.7,True,
1,FOODS_3_252,CA_2,17.483564,0.0,1.4,True,
1,FOODS_3_090,CA_2,27.223249,0.0,1.1,True,
1,FOODS_3_252,TX_1,19.866486,118.56,1.8,True,
1,FOODS_3_681,CA_3,17.175311,0.0,3.4,True,
1,FOODS_3_318,WI_3,31.279128,0.0,2.2,True,
1,FOODS_3_714,WI_3,9.068356,108.86,3.1,True,
1,FOODS_3_714,CA_1,23.811045,9.23,0.7,True,
1,FOODS_3_007,WI_2,24.782588,0.0,0.7,True,
1,FOODS_3_090,CA_4,13.968688,109.5,0.9,True,
1,FOODS_3_714,CA_3,22.7448,6.8,1.3,True,
1,FOODS_3_587,CA_1,13.93587,0.0,0.8,True,
1,FOODS_3_202,CA_3,16.357733,0.0,0.7,True,
1,FOODS_3_234,WI_2,13.952845,112.39,0.8,True,
1,FOODS_3_587,TX_2,18.637711,0.0,0.4,True,
1,FOODS_2_360,WI_2,20.617286,1.96,1.1,True,
1,FOODS_3_681,WI_3,17.569625,0.0,0.4,True,
1,FOODS_3_607,CA_3,16.88763,94.37,0.5,True,
1,FOODS_3_587,TX_1,13.943764,6.69,2.4,True,
1,FOODS_3_030,TX_3,13.986991,0.0,1.5,True,
1,FOODS_3_281,CA_3,12.539175,0.0,1.9,True,
1,FOODS_3_319,CA_3,12.989749,104.37,0.6,True,
1,FOODS_3_714,TX_2,9.961342,24.77,1.1,True,
1,FOODS_3_808,CA_1,25.360895,0.0,2.2,True,
1,FOODS_3_723,CA_3,15.560854,0.0,0.9,True,
1,FOODS_3_318,CA_3,13.096193,89.74,1.4,True,
1,FOODS_1_218,TX_2,21.813958,3.82,0.5,True,
1,FOODS_3_752,CA_3,7.589918,0.0,1.4,True,
1,FOODS_3_202,TX_2,18.635251,0.0,0.6,True,
1,FOODS_3_120,WI_3,25.111622,0.0,0.7,True,
1,FOODS_3_714,TX_1,14.623585,106.06,2.4,True,
1,HOUSEHOLD_1_118,CA_3,28.776482,19.29,2.3,True,
1,FOODS_3_030,TX_2,8.997663,0.0,1.0,True,
1,FOODS_2_197,CA_3,18.691001,122.98,0.3,True,
1,FOODS_3_234,WI_3,28.691679,0.5,0.6,True,
1,FOODS_3_376,WI_2,17.838821,0.0,1.1,True,
1,FOODS_3_694,CA_3,15.790521,101.34,1.0,True,
1,FOODS_3_711,WI_2,19.043552,18.31,0.6,True,
1,FOODS_3_234,CA_3,12.555311,0.41,2.7,True,
1,FOODS_3_282,CA_3,14.631388,0.0,0.9,True,
1,FOODS_3_202,TX_3,25.860378,116.18,0.9,True,
1,FOODS_3_587,WI_3,17.281176,0.29,0.9,True,
1,FOODS_3_694,WI_1,22.50524,0.0,1.3,True,
1,FOODS_3_547,WI_2,16.892202,105.93,2.0,True,
1,FOODS_3_288,CA_3,10.567303,12.91,0.3,True,
1,FOODS_2_197,CA_1,17.548707,0.0,1.9,True,
1,FOODS_3_714,TX_3,22.520379,0.16,1.7,True,
1,FOODS_3_723,WI_3,14.72761,0.0,1.8,True,
1,FOODS_3_587,TX_3,14.734869,114.98,1.4,True,
1,FOODS_3_080,TX_2,17.120735,1.92,1.6,True,
1,FOODS_3_501,CA_3,15.49265,0.0,1.1,True,
1,FOODS_2_360,CA_3,14.463355,0.0,0.8,True,
1,FOODS_3_412,WI_2,13.27345,108.5,0.2,True,
1,FOODS_3_080,CA_1,23.664644,17.92,0.7,True,
1,FOODS_2_360,TX_3,2.855091,0.43,1.1,True,
1,FOODS_2_276,CA_3,16.811817,6.44,2.1,True,
1,FOODS_3_202,TX_1,16.518092,0.0,0.8,True,
1,FOODS_3_462,WI_2,16.914785,79.13,1.3,True,
1,FOODS_3_555,CA_1,14.255155,66.09,1.2,True,
1,FOODS_3_099,TX_2,15.09637,1.16,1.7,True,
1,FOODS_3_252,WI_3,21.77773,0.0,0.7,True,
1,FOODS_3_711,CA_3,13.078307,124.05,0.6,True,
1,FOODS_3_804,CA_3,18.833193,0.68,1.0,True,
1,HOUSEHOLD_1_459,CA_3,13.748947,0.17,0.9,True,
1,HOUSEHOLD_1_334,CA_3,10.022484,8.39,1.2,True,
1,FOODS_3_694,TX_1,32.037684,6.01,1.2,True,
2,FOODS_3_090,CA_3,9.893112,3.14,1.7,True,
2,FOODS_3_586,TX_2,17.510042,0.0,0.2,True,
2,FOODS_3_586,TX_3,37.828497,139.93,0.7,True,
2,FOODS_3_586,CA_3,11.151986,2.39,0.4,True,
2,FOODS_3_090,CA_1,24.86559,0.0,0.9,True,
2,FOODS_3_090,WI_3,27.851294,137.96,0.7,True,
2,FOODS_3_090,TX_2,16.862106,0.54,1.2,True,
2,FOODS_3_090,TX_3,9.553667,32.17,2.8,True,
2,FOODS_3_252,TX_2,16.355391,0.0,1.0,True,
2,FOODS_3_586,TX_1,11.372666,85.7,2.1,True,
2,FOODS_3_226,WI_3,10.500424,4.32,0.6,True,
2,FOODS_3_555,TX_2,35.913701,0.0,1.2,True,
2,FOODS_3_090,TX_1,8.824679,149.61,0.4,True,
2,FOODS_3_120,CA_3,15.308528,0.0,0.7,True,
2,FOODS_3_586,CA_1,24.824191,21.57,0.8,True,
2,FOODS_3_252,TX_3,24.124673,0.0,1.1,True,
2,FOODS_3_586,WI_3,16.616969,106.97,1.2,True,
2,FOODS_3_694,WI_3,10.342363,56.09,0.9,True,
2,FOODS_3_252,CA_3,15.571791,0.87,1.2,True,
2,FOODS_3_541,CA_3,21.53898,0.0,1.4,True,
2,FOODS_3_635,CA_3,24.71466,164.38,0.8,True,
2,FOODS_3_226,WI_1,10.247225,3.89,0.5,True,
2,FOODS_3_555,TX_3,29.33792,0.0,1.3,True,
2,FOODS_3_252,CA_1,16.648884,70.1,0.8,True,
2,FOODS_3_377,TX_3,16.308815,47.89,1.0,True,
2,FOODS_3_808,CA_3,15.843937,24.3,1.5,True,
2,FOODS_3_587,CA_3,14.227714,0.0,0.5,True,
2,FOODS_3_226,WI_2,24.065896,139.61,0.6,True,
2,FOODS_3_555,TX_1,14.285356,0.0,0.5,True,
2,FOODS_3_586,CA_2,26.886457,0.0,1.0,True,
2,FOODS_3_377,TX_2,15.032369,106.25,1.5,True,
2,FOODS_3_120,CA_1,25.008082,19.8,2.1,True,
2,FOODS_3_694,WI_2,14.571397,0.0,1.1,True,
2,FOODS_3_555,CA_3,21.523769,0.0,0.8,True,
2,FOODS_3_555,WI_3,27.228857,142.27,0.9,True,
2,FOODS_3_252,CA_2,14.999389,0.37,0.6,True,
2,FOODS_3_090,CA_2,27.432811,0.0,1.7,True,
2,FOODS_3_252,TX_1,23.011279,145.69,0.6,True,
2,FOODS_3_681,CA_3,28.90561,0.0,1.5,True,
2,FOODS_3_318,WI_3,30.292973,0.0,1.3,True,
2,FOODS_3_714,WI_3,9.336595,155.68,0.7,True,
2,FOODS_3_714,CA_1,24.516374,0.0,1.1,True,
2,FOODS_3_007,WI_2,19.650693,0.0,0.3,True,
2,FOODS_3_090,CA_4,15.026377,0.0,1.2,True,
2,FOODS_3_714,CA_3,22.959987,135.56,1.7,True,
2,FOODS_3_587,CA_1,15.162948,0.58,0.7,True,
2,FOODS_3_202,CA_3,18.216731,0.0,1.7,True,
2,FOODS_3_234,WI_2,14.049354,0.25,1.0,True,
2,FOODS_3_587,TX_2,25.416301,0.05,1.6,True,
2,FOODS_2_360,WI_2,18.091894,0.22,1.2,True,
2,FOODS_3_681,WI_3,28.336637,0.0,1.0,True,
2,FOODS_3_607,CA_3,23.916801,133.92,1.6,True,
2,FOODS_3_587,TX_1,25.875251,3.79,1.4,True,
2,FOODS_3_030,TX_3,13.849616,0.0,1.6,True,
2,FOODS_3_281,CA_3,12.184217,1.71,0.9,True,
2,FOODS_3_319,CA_3,12.715694,0.92,1.2,True,
2,FOODS_3_714,TX_2,9.70848,27.6,1.1,True,
2,FOODS_3_808,CA_1,14.325865,0.0,1.3,True,
2,FOODS_3_723,CA_3,21.905725,0.0,1.3,True,
2,FOODS_3_318,CA_3,14.158943,121.5,1.3,True,
2,FOODS_1_218,TX_2,21.063164,0.0,0.9,True,
2,FOODS_3_752,CA_3,7.87456,13.76,1.0,True,
2,FOODS_3_202,TX_2,17.992238,0.0,2.2,True,
2,FOODS_3_120,WI_3,20.962155,109.77,2.1,True,
2,FOODS_3_714,TX_1,15.259783,26.94,1.1,True,
2,HOUSEHOLD_1_118,CA_3,29.914956,4.5,1.4,True,
2,FOODS_3_030,TX_2,9.051806,0.0,1.2,True,
2,FOODS_2_197,CA_3,18.618127,143.51,2.3,True,
2,FOODS_3_234,WI_3,29.851374,3.51,1.8,True,
2,FOODS_3_376,WI_2,24.915918,0.0,1.9,True,
2,FOODS_3_694,CA_3,11.571185,89.74,2.2,True,
2,FOODS_3_711,WI_2,15.359135,49.3,1.7,True,
